index,token_id,hex,r,g,b,agent_id,group,domain,persona,perspective,color_name,anchor,ansi_fg,ansi_bg,xterm_256_index,token_png_1024,agent_png_1024
1,DSW64-01,#00CFFF,0,207,255,azure_architect,platform_foundation,Azure,Cloud Architect,"Landing zones, resiliency, platform architecture",Nitrous Blue,nitrous_blue,\u001b[38;2;0;207;255m,\u001b[48;2;0;207;255m,160,tokens/png_1024_transparent/01_azure_architect_00CFFF_1024_transparent.png,agents/png_1024_dark/01_azure_architect_00CFFF_1024_dark.png
2,DSW64-02,#00C0F6,0,192,246,entra_identity,platform_foundation,Microsoft Entra,Identity Guardian,"Zero Trust identity, conditional access, lifecycle governance",Nitrous Blue → Cobalt Blue 1/9,,\u001b[38;2;0;192;246m,\u001b[48;2;0;192;246m,160,tokens/png_1024_transparent/02_entra_identity_00C0F6_1024_transparent.png,agents/png_1024_dark/02_entra_identity_00C0F6_1024_dark.png
3,DSW64-03,#00B0ED,0,176,237,teams_collaboration,platform_foundation,Microsoft Teams,Collaboration Conductor,"Meetings, channels, teamwork patterns, real-time collaboration",Nitrous Blue → Cobalt Blue 2/9,,\u001b[38;2;0;176;237m,\u001b[48;2;0;176;237m,178,tokens/png_1024_transparent/03_teams_collaboration_00B0ED_1024_transparent.png,agents/png_1024_dark/03_teams_collaboration_00B0ED_1024_dark.png
4,DSW64-04,#00A1E3,0,161,227,power_platform_maker,power_platform_and_apps,Power Platform,Fusion Maker,"Low-code strategy, app portfolios, maker enablement",Nitrous Blue → Cobalt Blue 3/9,,\u001b[38;2;0;161;227m,\u001b[48;2;0;161;227m,178,tokens/png_1024_transparent/04_power_platform_maker_00A1E3_1024_transparent.png,agents/png_1024_dark/04_power_platform_maker_00A1E3_1024_dark.png
5,DSW64-05,#0092DA,0,146,218,power_apps_creator,power_platform_and_apps,Power Apps,App Creator,"Canvas apps, model-driven apps, UX patterns",Nitrous Blue → Cobalt Blue 4/9,,\u001b[38;2;0;146;218m,\u001b[48;2;0;146;218m,172,tokens/png_1024_transparent/05_power_apps_creator_0092DA_1024_transparent.png,agents/png_1024_dark/05_power_apps_creator_0092DA_1024_dark.png
6,DSW64-06,#0083D1,0,131,209,power_automate_orchestrator,power_platform_and_apps,Power Automate,Flow Orchestrator,"Workflow automation, approvals, event-driven operations",Nitrous Blue → Cobalt Blue 5/9,,\u001b[38;2;0;131;209m,\u001b[48;2;0;131;209m,172,tokens/png_1024_transparent/06_power_automate_orchestrator_0083D1_1024_transparent.png,agents/png_1024_dark/06_power_automate_orchestrator_0083D1_1024_dark.png
7,DSW64-07,#0074C7,0,116,199,power_bi_analyst,power_platform_and_apps,Power BI,Insight Analyst,"Metrics, semantic models, executive dashboards",Nitrous Blue → Cobalt Blue 6/9,,\u001b[38;2;0;116;199m,\u001b[48;2;0;116;199m,172,tokens/png_1024_transparent/07_power_bi_analyst_0074C7_1024_transparent.png,agents/png_1024_dark/07_power_bi_analyst_0074C7_1024_dark.png
8,DSW64-08,#0066BE,0,102,190,power_pages_portal,power_platform_and_apps,Power Pages,Portal Maker,"Secure portals, external users, citizen services",Nitrous Blue → Cobalt Blue 7/9,,\u001b[38;2;0;102;190m,\u001b[48;2;0;102;190m,166,tokens/png_1024_transparent/08_power_pages_portal_0066BE_1024_transparent.png,agents/png_1024_dark/08_power_pages_portal_0066BE_1024_dark.png
9,DSW64-09,#0056B5,0,86,181,m365_strategist,platform_foundation,Microsoft 365,Productivity Strategist,"Work orchestration across mail, files, meetings, and knowledge",Nitrous Blue → Cobalt Blue 8/9,,\u001b[38;2;0;86;181m,\u001b[48;2;0;86;181m,250,tokens/png_1024_transparent/09_m365_strategist_0056B5_1024_transparent.png,agents/png_1024_dark/09_m365_strategist_0056B5_1024_dark.png
10,DSW64-10,#0047AB,0,71,171,copilot_studio_agent_builder,power_platform_and_apps,Copilot Studio,Agent Builder,"Agent design, topics, actions, evaluation, governance",Cobalt Blue,cobalt_blue,\u001b[38;2;0;71;171m,\u001b[48;2;0;71;171m,193,tokens/png_1024_transparent/10_copilot_studio_agent_builder_0047AB_1024_transparent.png,agents/png_1024_dark/10_copilot_studio_agent_builder_0047AB_1024_dark.png
11,DSW64-11,#394AB0,57,74,176,powerpoint_storyteller,power_platform_and_apps,PowerPoint,Storytelling Expert,"Executive narrative, presentation design, visual hierarchy",Cobalt Blue → Magenta 1/9,,\u001b[38;2;57;74;176m,\u001b[48;2;57;74;176m,205,tokens/png_1024_transparent/11_powerpoint_storyteller_394AB0_1024_transparent.png,agents/png_1024_dark/11_powerpoint_storyteller_394AB0_1024_dark.png
12,DSW64-12,#574BB4,87,75,180,excel_modeler,power_platform_and_apps,Excel,Modeling Expert,"Financial models, analysis grids, formulas, scenario planning",Cobalt Blue → Magenta 2/9,,\u001b[38;2;87;75;180m,\u001b[48;2;87;75;180m,61,tokens/png_1024_transparent/12_excel_modeler_574BB4_1024_transparent.png,agents/png_1024_dark/12_excel_modeler_574BB4_1024_dark.png
13,DSW64-13,#714CB9,113,76,185,word_writer,power_platform_and_apps,Word,Technical Writer,"Docs, proposals, contracts, specs, narrative clarity",Cobalt Blue → Magenta 3/9,,\u001b[38;2;113;76;185m,\u001b[48;2;113;76;185m,58,tokens/png_1024_transparent/13_word_writer_714CB9_1024_transparent.png,agents/png_1024_dark/13_word_writer_714CB9_1024_dark.png
